Nanoplot_File,RBK,RL_mean,RQ_mean,RL_median,RQ_median,Total_reads,RL_n50,RL_stdev,Total_bases,total_Gb,RL_max,type,Nanoplot_File_short,Run_ID,Run_ID_pb,library_ID,platform,hsid,wellid,tube_label,concat,hybrid,subsample,amount,hsap,ONT_Q20,dna_extraction_date,cleanup_date,cleanup_method,lib_prep_kit
HsapMBHSID_699_FB00858662.ont_pass_ONT_WGS_batch3.R000-667.L003-250_nanoplot.html,NaN,2380,16,1315,18,2696703,4091,3897,6418551200,6.419,172542,,HsapMBHSID_699_FB00858662,R000-667,NaN,L003-250,ont,699,e3,FB00858662,0,0,0,NaN,,0,,,,
HsapMBHSID_742_FB00259855.ont_pass_ONT_WGS_batch3.R000-667.L003-251_nanoplot.html,NaN,2622,16,1662,18,4743635,3805,3816,12440279970,12.440,173803,,HsapMBHSID_742_FB00259855,R000-667,NaN,L003-251,ont,742,f3,FB00259855,0,0,0,NaN,,0,,,,
HsapMBHSID_791_FB00259882.ont_pass_ONT_WGS_batch3.R000-667.L003-252_nanoplot.html,NaN,4829,16,3288,18,1798537,7616,4947,8685531989,8.686,170787,,HsapMBHSID_791_FB00259882,R000-667,NaN,L003-252,ont,791,g3,FB00259882,0,0,0,NaN,,0,,,,
HsapMBHSID_798_FB00862899.ont_pass_ONT_WGS_batch3.R000-667.L003-253_nanoplot.html,NaN,3039,16,1640,18,538072,5876,4696,1635511435,1.636,111678,,HsapMBHSID_798_FB00862899,R000-667,NaN,L003-253,ont,798,h3,FB00862899,0,0,0,NaN,,0,,,,
HsapMBHSID_791_FB00934229.ont_pass_ONT_WGS_batch3.R000-667.L003-254_nanoplot.html,NaN,3712,16,2018,18,3839698,6824,5230,14254932501,14.255,175973,,HsapMBHSID_791_FB00934229,R000-667,NaN,L003-254,ont,791,g5,FB00934229,0,0,0,NaN,,0,,,,
HsapMBHSID_798_FB00942219.ont_pass_ONT_WGS_batch3.R000-667.L003-255_nanoplot.html,NaN,2082,16,1198,18,10788227,3582,2862,22468916384,22.469,216227,,HsapMBHSID_798_FB00942219,R000-667,NaN,L003-255,ont,798,h5,FB00942219,0,0,0,NaN,,0,,,,
HsapMBHSID_526_FB00259294.ont_pass_ONT_WGS_batch4.R000-668.L003-256_nanoplot.html,NaN,5240,15,2840,17,1398101,9706,7545,7327340341,7.327,217605,,HsapMBHSID_526_FB00259294,R000-668,NaN,L003-256,ont,526,a4,FB00259294,0,0,0,NaN,,0,,,,
HsapMBHSID_549_FB00259103.ont_pass_ONT_WGS_batch4.R000-668.L003-257_nanoplot.html,NaN,2854,16,1728,17,1262078,4797,3825,3602639924,3.603,157450,,HsapMBHSID_549_FB00259103,R000-668,NaN,L003-257,ont,549,b4,FB00259103,0,0,0,NaN,,0,,,,
HsapMBHSID_553_FB00258936.ont_pass_ONT_WGS_batch4.R000-668.L003-258_nanoplot.html,NaN,2690,16,1655,18,7643150,4480,3592,20564041217,20.564,237248,,HsapMBHSID_553_FB00258936,R000-668,NaN,L003-258,ont,553,c4,FB00258936,0,0,0,NaN,,0,,,,
HsapMBHSID_603_FB00936960.ont_pass_ONT_WGS_batch4.R000-668.L003-259_nanoplot.html,NaN,3058,16,1744,18,3796159,5460,4470,11608714829,11.609,224180,,HsapMBHSID_603_FB00936960,R000-668,NaN,L003-259,ont,603,d4,FB00936960,0,0,0,NaN,,0,,,,
HsapMBHSID_699_FB00855176.ont_pass_ONT_WGS_batch4.R000-668.L003-260_nanoplot.html,NaN,1878,16,1273,18,11471201,2741,2455,21545220340,21.545,245150,,HsapMBHSID_699_FB00855176,R000-668,NaN,L003-260,ont,699,e4,FB00855176,0,0,0,NaN,,0,,,,
HsapMBHSID_742_FB01923469.ont_pass_ONT_WGS_batch4.R000-668.L003-261_nanoplot.html,NaN,2900,16,1472,18,1185407,5802,4665,3437692541,3.438,195976,,HsapMBHSID_742_FB01923469,R000-668,NaN,L003-261,ont,742,f4,FB01923469,0,0,0,NaN,,0,,,,
HsapMBHSID_791_FB01923141.ont_pass_ONT_WGS_batch4.R000-668.L003-262_nanoplot.html,NaN,4216,16,2628,18,4586884,6928,5111,19339833080,19.340,500090,,HsapMBHSID_791_FB01923141,R000-668,NaN,L003-262,ont,791,g4,FB01923141,0,0,0,NaN,,0,,,,
HsapMBHSID_798_FB00267565.ont_pass_ONT_WGS_batch4.R000-668.L003-263_nanoplot.html,NaN,2565,16,981,18,173699,6419,4965,445700519,0.446,142716,,HsapMBHSID_798_FB00267565,R000-668,NaN,L003-263,ont,798,h4,FB00267565,0,0,0,NaN,,0,,,,
