Taxa,unclassified,total,unclassified_percent,database,method,dataset,method_dataset,name
HsapMB547,54638000,282288995,19.35534185,986 cMAG,seqwell HiFi,original,seqwell HiFi_original,798.FB00258005.PB.G1.P3_Vega.SW.F10
HsapMB455,126918000,298010995,42.58836155,standard (0 cMAGs),seqwell HiFi,original,seqwell HiFi_original,798.FB00267565.PB.G1.P3_RevioSPRQ_s4.SW.D10
HsapMB455,29316000,298010997,9.837220873,986 cMAG,seqwell HiFi,original,seqwell HiFi_original,798.FB00267565.PB.G1.P3_RevioSPRQ_s4.SW.D10
HsapMB545,112754999,265350999,42.49277351,standard (0 cMAGs),seqwell HiFi,original,seqwell HiFi_original,798.FB00267565.PB.G1.P3_Vega.SW.D10
HsapMB545,28092999,265350998,10.58710885,986 cMAG,seqwell HiFi,original,seqwell HiFi_original,798.FB00267565.PB.G1.P3_Vega.SW.D10
HsapMB453,113140999,271024999,41.74559521,standard (0 cMAGs),seqwell HiFi,original,seqwell HiFi_original,798.FB00853579.PB.G1.P3_RevioSPRQ_s4.SW.B10
HsapMB453,24476999,271024997,9.031269909,986 cMAG,seqwell HiFi,original,seqwell HiFi_original,798.FB00853579.PB.G1.P3_RevioSPRQ_s4.SW.B10
HsapMB543,102172999,239379996,42.68234636,standard (0 cMAGs),seqwell HiFi,original,seqwell HiFi_original,798.FB00853579.PB.G1.P3_Vega.SW.B10
HsapMB543,24519999,239379996,10.24312783,986 cMAG,seqwell HiFi,original,seqwell HiFi_original,798.FB00853579.PB.G1.P3_Vega.SW.B10
HsapMB454,53114999,117950997,45.03141165,standard (0 cMAGs),seqwell HiFi,original,seqwell HiFi_original,798.FB00862899.PB.G1.P3_RevioSPRQ_s4.SW.C10
HsapMB454,14383999,117950997,12.19489395,986 cMAG,seqwell HiFi,original,seqwell HiFi_original,798.FB00862899.PB.G1.P3_RevioSPRQ_s4.SW.C10
HsapMB544,50068000,107637997,46.51517252,standard (0 cMAGs),seqwell HiFi,original,seqwell HiFi_original,798.FB00862899.PB.G1.P3_Vega.SW.C10
HsapMB544,14301000,107637997,13.28620041,986 cMAG,seqwell HiFi,original,seqwell HiFi_original,798.FB00862899.PB.G1.P3_Vega.SW.C10
HsapMB452,120055999,264971999,45.3089381,standard (0 cMAGs),seqwell HiFi,original,seqwell HiFi_original,798.FB00864436.PB.G1.P3_RevioSPRQ_s4.SW.A10
HsapMB452,29102999,264971997,10.98342441,986 cMAG,seqwell HiFi,original,seqwell HiFi_original,798.FB00864436.PB.G1.P3_RevioSPRQ_s4.SW.A10
HsapMB542,106260999,228052996,46.59487087,standard (0 cMAGs),seqwell HiFi,original,seqwell HiFi_original,798.FB00864436.PB.G1.P3_Vega.SW.A10
HsapMB542,28205999,228052994,12.36817746,986 cMAG,seqwell HiFi,original,seqwell HiFi_original,798.FB00864436.PB.G1.P3_Vega.SW.A10
HsapMB456,61384999,107936996,56.87113897,standard (0 cMAGs),seqwell HiFi,original,seqwell HiFi_original,798.FB00942219.PB.G1.P3_RevioSPRQ_s4.SW.E10
HsapMB456,20953000,107936996,19.41225046,986 cMAG,seqwell HiFi,original,seqwell HiFi_original,798.FB00942219.PB.G1.P3_RevioSPRQ_s4.SW.E10
HsapMB546,57594000,100849997,57.10857879,standard (0 cMAGs),seqwell HiFi,original,seqwell HiFi_original,798.FB00942219.PB.G1.P3_Vega.SW.E10
HsapMB546,20076000,100849991,19.90679404,986 cMAG,seqwell HiFi,original,seqwell HiFi_original,798.FB00942219.PB.G1.P3_Vega.SW.E10
HsapMB195,51580999,90377992,57.07252159,standard (0 cMAGs),seqwell HiFi,new,seqwell HiFi_new,500.FB00259114.PB.F1.P2_RevioSPRQ_s3.SW.C01
HsapMB195,30058999,90377987,33.25920393,986 cMAG,seqwell HiFi,new,seqwell HiFi_new,500.FB00259114.PB.F1.P2_RevioSPRQ_s3.SW.C01
